category,journal,num_click
pol,E,582
eng,D,493
pol,C,429
eng,A,472
pol,B,679
eng,C,740
eng,B,430
eng,E,376
pol,B,575
spo,E,272
pol,E,208
spo,C,524
pol,D,208
fin,E,635
tra,E,606
spo,E,464
eng,E,517
soc,D,563
soc,A,492
pol,A,506
fin,C,322
fin,E,161
spo,C,391
tra,D,450
soc,E,524
eng,D,392
spo,C,425
spo,D,385
pol,B,732
spo,B,163
spo,C,350
spo,A,175
spo,B,821
soc,C,481
fin,A,191
tra,C,674
pol,E,164
pol,B,142
eng,E,329
eng,C,463
fin,A,630
pol,D,544
fin,E,365
spo,A,520
soc,C,439
spo,D,318
spo,E,499
soc,D,318
spo,A,483
pol,C,485
eng,B,361
pol,A,327
tra,D,612
tra,B,805
eng,A,515
soc,D,404
fin,B,350000
fin,B,169
eng,D,618
pol,D,472
spo,C,281
eng,A,545
pol,C,613
fin,B,400
soc,D,271
pol,C,522
eng,C,241
spo,E,614
fin,A,399
fin,D,775
soc,E,364
soc,E,700
eng,C,414
tra,E,551
tra,B,495
pol,E,517
fin,B,136
eng,B,612
spo,E,365
soc,E,625
pol,D,505
pol,B,377
fin,D,456
eng,A,713
tra,B,341
soc,A,255
soc,B,256
fin,D,673
soc,E,383
pol,A,461
pol,E,232
eng,B,152
eng,D,461
pol,E,33
tra,C,0
eng,A,242
pol,B,636
fin,E,400000
fin,D,620
spo,B,137
spo,B,149
soc,A,611
tra,A,595
soc,B,496
tra,C,664
fin,C,436
fin,A,221
pol,B,36
soc,E,514
tra,D,325
soc,A,577
pol,E,429
pol,B,517
fin,A,148
spo,D,285
soc,D,498
eng,D,743
spo,A,365
spo,B,443
fin,E,0
soc,B,762
tra,E,566
pol,C,722
tra,C,476
tra,C,325
spo,D,671
spo,C,201
soc,D,464
eng,E,866
fin,C,466
spo,D,200
fin,B,857
tra,E,496
eng,B,116
eng,D,183
pol,B,584
tra,D,657
pol,A,609
eng,C,355
pol,E,359
pol,A,729
pol,C,42
spo,C,373
tra,E,168
fin,D,395
fin,D,409
fin,B,883
spo,D,382
tra,B,359
fin,E,498
spo,A,478
tra,D,300000
pol,E,439
pol,B,376
spo,E,384
fin,A,546
spo,C,705
fin,A,328
soc,C,503
pol,A,194
soc,B,294
spo,C,418
fin,B,157
pol,E,2
pol,B,696
soc,E,760
pol,A,626
tra,E,431
tra,B,367
eng,A,380
eng,A,442
soc,E,304
soc,A,567
spo,D,489
pol,A,483
eng,B,446
eng,E,359
pol,E,827
tra,E,463
soc,B,546
soc,A,477
fin,C,382
eng,D,579
tra,E,243
spo,C,528
eng,E,458
tra,E,266
spo,B,188
eng,D,115
fin,D,368
eng,C,377
tra,C,271
pol,E,0
soc,A,332
fin,D,695
eng,C,367
tra,B,359
soc,B,541
tra,B,427
soc,D,330
eng,C,538
eng,B,617
pol,B,290
eng,B,483
soc,D,615
soc,E,304
fin,E,658
fin,A,419
fin,D,567
tra,A,150
soc,A,590
fin,B,552
eng,D,48
tra,C,453
tra,D,194
spo,B,371
pol,D,644
pol,B,673
eng,E,260
tra,B,567
pol,C,359
soc,A,179
pol,D,168
fin,E,415
spo,E,181
soc,D,590
soc,A,379
fin,E,437
spo,C,724
soc,D,498
soc,B,297
pol,D,272
spo,C,495
eng,A,494
tra,B,537
pol,A,22
pol,C,643
fin,D,662
fin,B,87
soc,C,193
eng,A,525
pol,C,325
soc,A,11
soc,C,535
soc,C,371
eng,D,413
eng,C,631
pol,E,545
eng,E,549
soc,B,749
pol,B,509
eng,E,392
pol,D,555
pol,D,525
tra,E,618
fin,B,481
spo,A,557
pol,A,410
tra,D,128
spo,E,338
eng,E,736
fin,D,506
fin,A,351
eng,C,43
soc,E,374
pol,B,350
fin,C,348
tra,A,216
eng,E,309
tra,E,338
tra,A,107
tra,C,382
spo,B,272
soc,D,367
eng,C,717
tra,B,394
fin,B,88
fin,E,484
spo,A,217
pol,B,451
eng,D,646
spo,C,689
fin,A,789
soc,A,393
spo,A,582
soc,D,438
tra,E,186
eng,D,399
soc,A,396
eng,C,583
eng,C,578
fin,E,532
spo,E,407
pol,B,405
eng,C,448
spo,E,513
fin,C,53
eng,A,218
fin,C,129
fin,C,463
fin,A,557
fin,E,271
eng,C,749
spo,B,577
eng,E,606
soc,D,350
tra,A,285
tra,A,911
eng,A,856
spo,E,339
pol,A,358
soc,C,865
soc,D,428
soc,D,555
pol,B,364
tra,D,337
eng,D,414
spo,D,611
eng,C,679
soc,A,611
tra,A,782
eng,E,408
spo,E,0
spo,A,403
pol,E,415
pol,C,550
tra,B,484
soc,A,387
fin,E,606
spo,D,274
soc,A,386
pol,C,636
tra,C,265
eng,B,400
soc,D,284
tra,E,21
spo,C,291
spo,A,612
tra,C,621
pol,A,735
eng,B,705
eng,A,460
eng,D,333
fin,C,525
fin,E,327
eng,D,737
soc,D,462
spo,C,419
tra,B,385
eng,B,276
soc,A,618
pol,B,410
tra,C,288
tra,E,428
eng,A,377
fin,A,383
fin,B,752
pol,A,659
eng,D,433
spo,C,382
fin,E,681
eng,C,450
tra,D,468
fin,A,266
soc,A,628
fin,C,544
pol,A,78
fin,C,456
spo,C,865
tra,A,0
spo,E,0
soc,B,628
pol,D,811
tra,D,332
soc,B,590
eng,B,0
soc,B,297
tra,E,341
spo,C,267
fin,E,591
soc,A,179
soc,D,394
pol,B,389
soc,C,266
eng,E,411
spo,A,637
fin,C,228
pol,D,443
fin,B,374
tra,C,425
pol,C,479
spo,E,323
eng,B,789
fin,C,349
fin,C,519
tra,C,308
pol,E,62
soc,D,760
fin,C,187
spo,E,760
tra,E,672
eng,E,789
pol,E,675
fin,B,0
tra,C,328
soc,A,526
eng,B,364
pol,D,634
fin,A,163
soc,E,575
pol,B,309
fin,A,540
fin,C,571
soc,C,264
spo,D,490
soc,A,367
eng,C,368
soc,D,521
spo,E,606
fin,E,605
pol,D,409
soc,B,393
tra,A,194
eng,E,134
eng,D,626
soc,E,594
soc,D,686
eng,C,213
soc,D,464
soc,A,703
fin,E,588
tra,A,249
eng,D,357
tra,C,676
pol,C,374
fin,A,594
soc,E,500
fin,D,614
fin,A,607
eng,E,121
eng,D,625
spo,C,550
eng,B,568
fin,B,233
spo,D,684
soc,A,83
eng,D,621
pol,B,713
tra,A,498
tra,D,411
eng,E,833
tra,A,203
spo,A,222
pol,C,203
pol,D,584
tra,B,344
spo,C,748
soc,D,431
tra,C,392
eng,D,393
fin,D,429
spo,C,184
fin,E,371
soc,B,596
fin,D,189
tra,B,181
spo,E,112
soc,A,243
spo,D,571
soc,C,490
spo,D,209
spo,C,355
soc,E,765
fin,C,881
soc,B,764
pol,B,34
tra,C,172
tra,C,0
tra,E,669
pol,E,585
pol,E,528
tra,E,579
eng,A,531
pol,B,731
tra,E,554
eng,E,559
fin,D,497
eng,A,460
tra,A,386
eng,A,405
pol,B,560
pol,A,394
soc,B,330
fin,A,473
tra,D,685
spo,D,569
spo,E,264
fin,A,731
spo,C,231
fin,E,320
spo,C,408
soc,C,721
pol,B,558
tra,C,487
spo,D,405
spo,E,455
spo,E,445
soc,C,580
fin,C,463
spo,E,263
pol,D,567
tra,B,299
spo,E,529
pol,E,352
eng,E,505
pol,C,0
fin,B,430
tra,B,291
spo,B,354
tra,C,796
tra,D,176
tra,E,554
fin,A,359
spo,A,597
fin,C,411
eng,E,303
tra,D,543
eng,B,505
tra,D,366
pol,C,293
spo,C,588
pol,D,472
soc,D,397
tra,C,336
soc,B,261
spo,C,479
eng,E,381
tra,D,439
tra,E,289
fin,A,715
pol,C,586
eng,D,604
soc,E,62
tra,D,495
soc,B,238
eng,C,609
tra,D,419
fin,C,433
soc,E,250
pol,A,511
soc,A,542
spo,E,295
fin,A,461
fin,C,256
spo,C,0
spo,A,455
tra,E,510
spo,A,611
pol,B,643
spo,A,138
tra,D,649
eng,B,293
fin,B,0
fin,D,752
soc,A,760
tra,D,470
spo,C,422
pol,A,524
fin,A,922
soc,D,545
tra,B,563
spo,C,688
eng,A,514
tra,D,307
pol,B,366
soc,A,936
soc,C,818
soc,D,306
tra,B,619
fin,C,626
fin,C,322
eng,B,314
pol,B,742
eng,C,555
fin,B,374
eng,C,626
eng,B,662
tra,B,500
soc,C,215
pol,D,738
eng,E,275
fin,C,433
spo,A,677
soc,B,576
spo,A,411
eng,D,581
soc,B,570
tra,D,557
tra,C,579
tra,C,271
tra,C,76
pol,D,482
eng,D,608
pol,A,598
soc,E,778
pol,A,764
pol,C,340
eng,A,701
pol,E,572
tra,E,613
pol,A,324
fin,E,363
soc,E,946
pol,E,670
tra,E,723
soc,E,324
tra,B,489
fin,E,250
soc,B,541
spo,B,501
spo,B,379
pol,C,673
eng,A,182
pol,A,655
pol,E,312
eng,C,558
fin,B,553
soc,E,603
fin,E,333
pol,D,154
spo,A,799
fin,E,519
tra,A,638
eng,A,281
spo,B,190
spo,C,614
eng,A,521
pol,E,177
pol,A,384
eng,C,175
pol,B,396
tra,B,408
fin,A,240
spo,D,396
soc,B,473
fin,E,941
tra,D,140
pol,A,779
eng,B,196
eng,C,395
pol,A,263
pol,E,507
pol,C,512
fin,A,390
fin,C,395
soc,D,760
spo,C,529
pol,D,609
eng,C,530
fin,B,503
fin,C,1042
tra,D,544
spo,E,775
soc,D,492
fin,B,461
soc,D,765
tra,D,502
eng,C,285
pol,B,426
spo,B,573
pol,E,283
spo,E,357
pol,E,408
tra,C,951
spo,C,335
soc,E,548
tra,E,134
soc,B,511
spo,A,270
pol,B,820
eng,D,339
tra,C,392
fin,A,505
spo,C,10
eng,B,564
fin,B,437
pol,D,510
fin,A,1013
tra,A,147
soc,B,650
tra,B,251
pol,C,691
spo,D,337
tra,A,626
eng,B,330
tra,E,446
tra,A,709
pol,C,320
pol,C,576
spo,C,271
fin,A,462
fin,C,208
soc,A,704
soc,C,383
tra,D,848
tra,A,247
eng,D,270
spo,E,597
tra,E,434
pol,A,110
soc,C,637
spo,D,502
eng,D,199
fin,D,666
tra,B,233
pol,A,521
soc,D,626
pol,E,531
spo,C,369
eng,D,567
fin,D,529
tra,E,425
pol,D,351
tra,E,203
spo,A,411
eng,A,163
pol,D,599
tra,D,744
soc,E,391
soc,B,641
soc,D,542
tra,C,695
tra,D,928
spo,E,449
tra,B,160
tra,E,3
soc,D,372
fin,A,391
fin,E,574
tra,E,389
eng,D,689
tra,E,457
fin,E,228
tra,D,526
spo,E,419
tra,A,981
pol,A,407
tra,A,478
eng,C,327
spo,B,483
pol,B,700
fin,E,600
tra,D,220
eng,E,527
eng,C,123
fin,D,666
tra,A,560
fin,D,775
tra,B,317
pol,E,438
soc,C,321
spo,E,525
fin,D,625
soc,B,398
eng,C,871
fin,E,567
pol,A,539
eng,D,715
eng,C,242
soc,C,409
pol,B,741
eng,A,480
spo,C,0
tra,D,582
pol,D,505
soc,A,456
tra,B,576
tra,B,121
pol,E,318
spo,A,513
tra,A,175
spo,D,552
soc,A,521
tra,B,414
soc,D,661
fin,C,271
spo,B,554
spo,E,116
pol,C,597
pol,C,439
soc,E,500
eng,C,651
tra,A,829
fin,D,218
soc,D,559
tra,E,650
tra,C,584
tra,C,626
spo,D,631
pol,C,572
spo,D,354
fin,B,606
fin,D,212
fin,C,253
eng,E,345
pol,E,786
soc,C,557
pol,B,525
soc,D,495
pol,C,466
spo,A,646
spo,A,635
soc,D,628
spo,E,442
soc,B,275
eng,D,310
tra,D,347
eng,C,475
tra,E,341
eng,A,424
soc,D,373
soc,B,722
fin,B,723
pol,A,375
soc,E,454
soc,E,710
spo,C,770
soc,C,455
pol,B,612
eng,D,607
soc,B,563
fin,D,394
fin,D,402
tra,B,400
tra,D,537
spo,E,563
eng,A,379
fin,E,639
pol,B,360
tra,D,666
tra,A,371
eng,D,119
soc,C,608
tra,E,249
fin,E,488
tra,B,572
tra,B,370
pol,B,320
soc,E,668
spo,C,127
pol,B,266
eng,E,94
eng,E,548
eng,C,503
eng,B,348
tra,C,178
eng,A,345
spo,A,631
eng,E,534
tra,D,583
spo,E,161
tra,B,693
spo,B,446
spo,B,665
tra,E,442
fin,B,172
soc,D,439
fin,A,557
soc,E,414
fin,B,285
soc,A,298
spo,D,455
spo,D,191
eng,C,783
fin,E,87
soc,B,525
fin,C,414
soc,B,801
fin,A,153
fin,D,296
spo,D,616
tra,C,516
spo,D,746
pol,D,497
tra,D,727
eng,E,400
soc,B,804
eng,D,691
soc,A,196
spo,E,638
tra,A,320
eng,E,112
fin,D,380
spo,E,632
tra,A,649
eng,A,429
fin,D,622
spo,A,492
pol,B,632
fin,E,583
fin,E,614
soc,B,687
pol,A,711
fin,A,487
pol,D,582
tra,D,442
soc,D,353
tra,E,328
eng,E,577
pol,B,648
tra,A,204
tra,E,730
eng,A,420
eng,E,618
pol,C,354
eng,C,392
spo,A,87
soc,E,482
eng,C,307
fin,D,541
spo,C,711
pol,A,659
soc,D,303
soc,B,481
fin,A,446
spo,D,152
spo,B,372
spo,D,515
eng,E,594
fin,D,279
pol,C,320
tra,C,474
spo,E,143
spo,D,538
tra,A,584
soc,B,477
pol,B,729
soc,C,319
soc,D,59
eng,B,117
spo,C,709
tra,E,198
eng,B,171
pol,A,273
soc,D,695
spo,B,660
spo,E,387
soc,A,377
tra,E,343
spo,A,422
fin,B,426
soc,C,575
tra,A,364
soc,D,377
pol,C,681
pol,C,613
soc,A,77
eng,B,378
pol,C,368
eng,A,800
eng,A,625
eng,B,523
soc,C,681
soc,B,552
spo,B,158
spo,A,426
eng,D,0
pol,D,227
spo,D,401
soc,D,616
pol,B,600
fin,A,1020
pol,A,686
spo,E,82
tra,A,398
pol,C,279
eng,E,229
fin,A,319
fin,A,206
tra,D,379
eng,A,351
eng,E,495
soc,E,194
tra,B,800
eng,A,407
pol,E,496
spo,C,964
fin,A,369
spo,B,512
pol,D,268
spo,C,685
tra,E,179
soc,E,367
spo,D,400
tra,A,418
fin,B,570
fin,D,464
tra,E,87
soc,D,328
tra,A,448
soc,B,550
fin,E,149
soc,B,648
eng,B,376
soc,C,380
soc,B,346
pol,C,397
pol,A,633
pol,E,389
pol,B,862
tra,C,512
spo,C,515
pol,D,573
tra,D,545
tra,A,677
soc,A,697
fin,D,486
tra,E,53
pol,A,372
pol,D,781
tra,C,437
soc,D,511
fin,B,316
eng,A,413
spo,E,141
fin,B,0
pol,B,770
fin,C,511
spo,C,583
fin,D,584
spo,D,295
pol,D,489
eng,E,370
eng,C,532
eng,E,431
spo,A,464
spo,A,483
fin,D,866
eng,B,404
soc,B,179
fin,A,457
spo,A,116
soc,D,724
soc,E,643
fin,B,239
soc,B,596
soc,A,120
spo,B,665
tra,C,651
fin,D,402
fin,C,604
tra,A,230
pol,C,324
spo,A,332
eng,E,334
pol,D,350
pol,E,721
pol,B,107
soc,A,278
pol,E,389
eng,E,537
eng,E,880
eng,B,352
fin,C,426
fin,A,669
pol,C,625
tra,C,417
soc,C,496
spo,C,352
tra,B,433
tra,C,460
fin,A,679
eng,E,545
soc,C,407
spo,D,870
spo,C,433
eng,B,363
soc,A,498
fin,D,626
tra,D,653
eng,D,573
pol,A,186
tra,C,195
pol,B,521
fin,A,311
pol,E,470
soc,C,128
pol,D,368
tra,C,252
fin,D,327
eng,C,182
fin,E,367
eng,D,620
eng,D,343
spo,B,13
soc,B,626
soc,A,275
soc,A,573
fin,A,392
fin,C,582
tra,B,559
pol,A,472
eng,D,348
soc,D,590
eng,B,503
soc,A,386
pol,D,312
spo,A,674
eng,D,323
fin,D,635
eng,E,224
pol,A,323
fin,C,595
fin,E,374
spo,D,115
eng,E,558
fin,C,325
eng,D,521
eng,B,711
soc,B,645
spo,C,567
eng,B,357
fin,C,489
pol,D,227
tra,C,540
eng,A,278
tra,E,316
tra,D,598
spo,B,389
eng,E,492
fin,B,232
tra,D,498
fin,C,427
spo,A,516
eng,E,556
pol,A,701
soc,A,140
soc,C,693
eng,A,290
tra,E,395
tra,B,761
eng,E,321
tra,A,786
eng,A,453
tra,E,389
soc,C,359
spo,E,743
eng,B,6
soc,B,457
spo,E,390
eng,A,430
eng,E,187
tra,B,301
eng,E,453
fin,B,0
eng,B,436
spo,B,565
eng,D,245
tra,C,256
fin,D,0
eng,B,513
soc,C,401
fin,A,762
soc,D,545
pol,E,222
spo,E,327
tra,B,102
fin,E,142
soc,E,493
soc,E,278
spo,C,624
soc,B,493
pol,E,630
spo,C,557
eng,D,212
pol,A,741
tra,C,857
eng,E,380
fin,A,664
spo,C,665
eng,B,338
pol,C,304
eng,E,408
pol,E,765
eng,B,720
tra,A,194
spo,E,181
soc,C,184
tra,B,327
fin,D,651
eng,A,411
spo,D,617
pol,C,225
fin,B,111
pol,D,830
pol,E,530
eng,A,587
soc,C,177
eng,E,461
spo,D,453
soc,A,702
pol,B,180
soc,C,504
fin,D,581
spo,C,315
eng,B,465
pol,E,134
pol,B,515
spo,B,991
fin,E,520
soc,C,685
spo,D,634
soc,B,156
eng,D,479
fin,C,496
spo,D,482
eng,E,176
spo,E,343
pol,A,757
pol,B,559
eng,A,630
eng,E,326
spo,B,235
eng,C,372
tra,C,445
fin,E,568
pol,A,625
eng,C,687
soc,B,112
soc,D,619
tra,A,158
tra,A,606
eng,B,273
eng,D,0
tra,B,416
spo,C,513
pol,C,618
pol,E,752
eng,E,330
spo,E,224
soc,A,505
pol,B,436
spo,A,445
eng,B,627
eng,C,670
soc,E,337
pol,C,374
spo,C,0
soc,A,424
spo,C,452
tra,D,773
spo,D,649
tra,C,299
eng,A,473
tra,A,576
pol,C,502
pol,E,620
pol,A,474
fin,B,195
eng,D,203
pol,B,451
tra,D,373
fin,B,513
fin,C,98
tra,D,470
tra,E,361
soc,A,282
fin,A,307
spo,A,437
fin,C,479
pol,C,447
tra,A,198
eng,C,300
soc,B,300
tra,D,143
spo,B,688
fin,C,814
spo,D,359
pol,D,316
fin,D,696
fin,B,750
pol,B,479
soc,D,325
pol,C,661
fin,C,696
soc,D,451
spo,A,127
pol,B,429
soc,A,265
spo,A,407
eng,D,171
fin,A,446
soc,B,733
soc,C,449
tra,C,281
eng,E,420
pol,B,398
pol,A,219
fin,A,234
tra,C,480
pol,E,446
tra,A,670
soc,A,329
pol,A,661
eng,A,304
soc,A,195
pol,D,186
soc,B,256
tra,D,388
spo,B,457
soc,D,613
soc,D,582
fin,A,335
fin,E,705
pol,A,439
soc,E,351
fin,B,584
fin,E,403
spo,D,221
soc,C,488
spo,D,611
soc,D,356
fin,D,597
spo,A,232
soc,A,192
tra,D,760
soc,A,821
pol,D,239
tra,E,260
eng,C,303
fin,A,880
pol,A,211
tra,E,621
eng,C,186
pol,A,705
pol,B,779
soc,C,477
fin,C,60
tra,D,814
spo,E,377
eng,D,369
fin,A,0
eng,D,272
spo,B,421
spo,C,479
eng,A,599
soc,E,210
fin,D,518
tra,A,363
tra,C,326
fin,C,647
eng,C,319
eng,D,389
eng,B,630
pol,E,207
eng,A,725
spo,A,457
eng,E,501
fin,B,488
tra,E,46
spo,E,441
tra,B,903
eng,A,346
fin,A,659
tra,C,274
pol,B,712
fin,D,520
soc,B,995
pol,B,345
pol,A,558
eng,C,648
pol,A,80
soc,E,384
pol,E,662
pol,C,73
pol,E,560
soc,A,585
tra,B,365
pol,C,217
soc,C,746
eng,D,102
soc,E,315
soc,E,223
spo,C,481
spo,D,299
soc,E,597
eng,C,311
eng,A,354
soc,B,215
pol,E,590
soc,D,411
soc,C,524
pol,C,451
soc,A,285
soc,A,498
fin,A,512
soc,E,267
soc,D,106
fin,C,227
tra,E,708
spo,D,475
fin,C,784
spo,B,482
soc,D,525
fin,C,369
pol,B,421
soc,C,284
eng,C,777
spo,B,846
spo,D,376
fin,A,532
pol,B,601
pol,A,533
eng,B,976
spo,C,337
spo,D,107
eng,D,559
soc,D,598
fin,D,406
soc,C,496
eng,E,338
pol,A,641
fin,A,686
soc,D,302
spo,D,746
soc,B,379
pol,D,471
spo,E,502
tra,A,599
fin,E,401
soc,C,343
soc,C,712
soc,C,469
pol,C,446
fin,A,237
fin,C,308
spo,D,342
fin,C,579
fin,E,629
soc,C,332
spo,C,422
eng,A,357
pol,C,889
tra,B,619
eng,B,457
tra,D,759
tra,C,348
fin,D,343
tra,A,671
eng,B,507
pol,D,598
tra,C,728
fin,D,731
pol,D,627
spo,B,461
spo,C,475
pol,C,583
spo,A,490
spo,D,428
fin,C,47
pol,C,112
spo,D,772
tra,D,493
soc,C,579
eng,C,348
fin,C,0
spo,C,502
eng,C,509
spo,E,612
soc,A,377
tra,E,0
soc,D,497
soc,B,736
pol,B,419
fin,A,612
tra,B,184
tra,A,182
tra,C,878
eng,C,522
spo,D,753
eng,A,902
pol,A,595
fin,D,460
eng,C,432
tra,A,532
spo,D,709
eng,B,282
pol,B,496
pol,E,509
pol,D,552
eng,B,405
pol,D,169
spo,B,695
spo,B,443
spo,A,391
pol,D,213
fin,E,545
eng,A,256
soc,D,341
soc,C,330
eng,A,684
soc,C,775
tra,E,572
fin,E,429
soc,A,251
spo,E,488
pol,E,935
eng,E,556
spo,E,519
spo,D,313
eng,C,415
pol,E,274
fin,C,424
pol,A,501
spo,A,770
fin,C,510
soc,C,344
pol,E,295
spo,C,251
pol,B,149
tra,E,622
pol,C,445
eng,B,411
tra,E,542
eng,D,0
fin,B,272
eng,E,425
spo,A,202
eng,A,662
spo,C,453
pol,D,458
pol,D,280
eng,B,652
tra,E,303
pol,D,36
eng,E,377
eng,C,492
eng,A,102
pol,C,551
eng,A,685
eng,D,479
eng,E,278
fin,C,680
soc,B,389
fin,C,510
pol,B,146
pol,C,599
eng,D,650
soc,A,415
fin,D,136
fin,B,408
fin,C,538
eng,E,819
fin,D,647
spo,A,297
soc,C,649
soc,D,583
eng,A,616
fin,E,434
pol,B,715
eng,D,247
eng,E,436
soc,E,757
fin,B,516
pol,B,424
spo,D,500
tra,D,488
soc,C,425
pol,D,190
eng,E,548
tra,B,631
soc,E,425
fin,B,479
spo,D,582
fin,C,425
pol,E,287
tra,D,264
spo,C,395
pol,A,231
soc,B,544
fin,B,700
tra,E,647
fin,B,397
fin,E,612
spo,C,499
fin,A,495
pol,D,285
fin,A,335
pol,C,42
eng,C,784
tra,A,579
eng,A,289
fin,C,402
pol,D,442
tra,E,789
pol,A,756
spo,B,524
fin,E,544
fin,B,691
tra,D,200
soc,E,224
eng,B,436
tra,E,337
fin,C,443
soc,B,623
fin,E,515
tra,B,582
eng,A,220
fin,B,613
fin,A,624
spo,A,552
tra,D,451
soc,A,370
tra,C,574
eng,E,631
eng,A,449
soc,A,233
soc,A,358
pol,C,0
soc,E,271
eng,E,997
soc,C,580
fin,D,687
fin,E,669
tra,B,556
fin,A,390
tra,B,361
tra,B,0
fin,B,863
soc,B,406
tra,C,363
tra,C,462
fin,D,831
pol,E,414
pol,D,616
tra,E,471
pol,D,439
soc,C,611
pol,A,54
soc,A,398
tra,C,721
pol,C,459
spo,B,493
eng,E,452
tra,B,515
pol,E,617
eng,D,780
fin,D,123
spo,C,174
pol,B,652
fin,B,624
fin,B,439
soc,D,0
tra,D,159
fin,C,444
spo,B,400
spo,E,751
tra,D,289
spo,C,585
tra,E,710
spo,D,451
pol,A,660
fin,A,264
fin,E,238
pol,B,460
eng,B,127
spo,A,318
spo,D,110
pol,D,360
soc,A,629
soc,B,322
soc,D,371
spo,D,245
soc,D,4
soc,D,588
soc,E,235
tra,C,534
pol,D,330
soc,A,385
eng,B,523
eng,A,262
fin,E,698
eng,C,459
tra,B,448
pol,E,724
spo,E,431
eng,A,264
fin,A,444
pol,D,337
eng,B,392
soc,D,776
eng,C,187
fin,E,405
pol,D,612
soc,E,315
eng,E,183
fin,D,330
fin,B,514
pol,A,739
fin,E,263
pol,E,330
pol,C,443
tra,E,323
soc,A,447
tra,E,156
spo,B,511
fin,E,314
soc,A,772
fin,D,506
soc,E,602
eng,B,552
tra,D,458
soc,A,475
fin,E,753
fin,E,283
spo,C,642
soc,D,309
spo,A,190
soc,D,198
pol,A,356
soc,B,449
eng,A,517
pol,E,332
soc,D,571
spo,D,585
tra,E,649
tra,A,694
spo,C,730
pol,D,455
eng,A,320
tra,A,857
tra,A,453
fin,A,460
eng,B,664
tra,A,598
pol,A,266
soc,D,560
soc,D,235
tra,C,605
soc,C,593
pol,C,477
spo,A,630
eng,D,641
fin,E,623
soc,C,244
fin,A,129
spo,C,349
pol,E,640
eng,E,784
eng,C,355
tra,B,646
eng,E,162
pol,C,609
spo,E,198
soc,D,401
fin,E,544
tra,B,301
pol,C,186
spo,E,539
pol,B,109
spo,E,493
soc,C,659
pol,C,895
soc,A,853
fin,B,379
spo,E,349
tra,E,518
soc,B,634
spo,A,725
tra,B,503
soc,C,448
fin,D,418
pol,E,584
fin,C,442
soc,D,411
soc,C,343
fin,A,576
spo,D,634
tra,B,666
soc,D,295
pol,B,592
fin,C,608
spo,B,825
fin,A,512
soc,E,871
fin,E,408
soc,C,335
eng,E,238
eng,B,523
eng,E,660
pol,D,171
fin,A,516
fin,C,608
tra,B,408
pol,E,318
pol,D,579
pol,C,166
soc,A,524
tra,C,628
spo,D,385
eng,D,566
eng,C,487
eng,B,760
soc,E,580
pol,B,542
eng,D,406
soc,A,403
eng,E,581
pol,D,503
eng,A,522
fin,B,443
eng,C,728
fin,E,770
tra,A,287
tra,D,684
eng,C,80
spo,E,619
eng,A,574
tra,D,651
pol,B,517
pol,A,552
soc,B,505
